image_path,cluster
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),1
tensor(0),1
tensor(0),1
tensor(0),0
tensor(0),1
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
tensor(0),0
